n,p,k,ph,humidity,temperature,pump,total_nutrients,temp_ph_interaction,yield_ton_ha,irrigation_volume_l_m2,fertilizer_kg_ha,humidity_range,ph_range,temperature_range,source
0,0,1,4.95,68.4,38.1,1,1,188.58,0.62,2.556,94.25,adequada,acido,estresse,synthetic_agronomic_soy
1,0,0,5.7,51.5,28.8,1,1,163.95,2.168,2.153,72.5,baixa,acido,ideal,synthetic_agronomic_soy
0,1,1,7.76,75.3,39.8,0,2,308.92,0.0,2.421,63.44,excesso,alcalino,estresse,synthetic_agronomic_soy
1,1,0,6.79,17.5,38.6,0,2,262.21,0.298,12.569,32.67,critica,ideal,estresse,synthetic_agronomic_soy
0,0,1,6.06,26.5,37.5,1,1,226.96,0.157,7.213,62.85,critica,ideal,estresse,synthetic_agronomic_soy
1,1,1,5.47,64.1,18.9,0,3,103.25,1.282,0.33,23.95,adequada,acido,ideal,synthetic_agronomic_soy
1,0,0,7.04,33.6,27.9,1,1,196.6,0.618,4.077,80.42,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,1,5.58,68.3,34.1,0,3,190.24,2.126,1.932,21.49,adequada,acido,estresse,synthetic_agronomic_soy
0,1,1,5.29,43.1,41.3,1,2,218.27,0.0,5.938,58.54,baixa,acido,estresse,synthetic_agronomic_soy
0,1,0,5.26,85.9,12.3,0,1,65.0,0.057,0.189,86.78,excesso,acido,baixa,synthetic_agronomic_soy
0,0,0,6.99,80.5,21.8,0,0,152.43,1.192,0.088,104.09,excesso,alcalino,ideal,synthetic_agronomic_soy
1,1,1,6.73,54.4,22.3,0,3,149.85,3.77,1.079,12.93,baixa,ideal,ideal,synthetic_agronomic_soy
1,1,1,5.01,76.8,20.7,0,3,103.47,0.609,0.312,33.9,excesso,acido,ideal,synthetic_agronomic_soy
1,1,1,5.15,36.7,36.5,0,3,187.91,0.0,7.762,32.03,critica,acido,estresse,synthetic_agronomic_soy
1,1,1,6.7,54.5,13.4,0,3,89.48,0.57,2.178,11.39,baixa,ideal,baixa,synthetic_agronomic_soy
1,0,1,6.51,30.8,22.8,0,2,148.39,0.413,5.536,29.31,critica,ideal,ideal,synthetic_agronomic_soy
0,0,1,6.86,83.9,33.4,0,1,228.72,1.042,1.476,72.91,excesso,alcalino,estresse,synthetic_agronomic_soy
0,0,0,5.33,80.8,24.2,1,0,129.1,1.118,0.0,118.34,excesso,acido,ideal,synthetic_agronomic_soy
1,0,0,6.98,87.2,16.3,0,1,113.92,0.625,0.552,76.37,excesso,alcalino,baixa,synthetic_agronomic_soy
1,1,1,7.61,85.2,30.3,0,3,230.73,0.641,0.623,32.72,excesso,alcalino,ideal,synthetic_agronomic_soy
0,0,1,6.6,91.8,27.7,0,1,182.76,1.024,1.239,69.86,excesso,ideal,ideal,synthetic_agronomic_soy
0,0,1,5.39,33.3,41.5,1,1,223.38,0.022,7.609,89.32,critica,acido,estresse,synthetic_agronomic_soy
0,0,1,6.84,89.5,34.5,0,1,235.63,0.479,1.451,71.13,excesso,alcalino,estresse,synthetic_agronomic_soy
1,1,0,5.83,60.7,41.6,1,2,242.41,0.351,4.601,49.78,adequada,acido,estresse,synthetic_agronomic_soy
1,1,1,4.95,48.8,17.6,0,3,87.04,0.319,2.689,27.62,baixa,acido,baixa,synthetic_agronomic_soy
1,1,0,5.71,59.8,34.8,1,2,198.88,1.759,3.269,53.25,adequada,acido,estresse,synthetic_agronomic_soy
0,1,0,7.52,42.4,28.5,0,1,214.6,0.79,4.429,90.16,baixa,alcalino,ideal,synthetic_agronomic_soy
0,1,0,6.03,38.1,33.4,1,1,201.37,0.622,4.967,67.69,critica,ideal,estresse,synthetic_agronomic_soy
0,0,0,7.39,34.3,26.0,0,0,192.44,0.359,3.481,115.54,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,0,6.33,21.6,18.4,1,2,116.22,0.442,4.761,24.06,critica,ideal,ideal,synthetic_agronomic_soy
1,1,0,6.35,54.7,13.4,1,2,84.93,0.086,1.529,36.63,baixa,ideal,baixa,synthetic_agronomic_soy
1,0,1,4.82,86.0,37.1,0,2,178.89,0.2,2.142,71.21,excesso,acido,estresse,synthetic_agronomic_soy
0,0,0,6.71,65.4,36.4,1,0,244.59,0.895,2.392,92.74,adequada,ideal,estresse,synthetic_agronomic_soy
1,1,1,5.12,56.7,16.9,0,3,86.46,0.864,1.614,29.83,adequada,acido,baixa,synthetic_agronomic_soy
0,1,1,6.24,49.3,31.4,1,2,195.54,3.082,2.838,30.57,baixa,ideal,ideal,synthetic_agronomic_soy
1,0,0,5.58,52.2,34.1,0,1,190.49,1.226,4.745,72.05,baixa,acido,estresse,synthetic_agronomic_soy
1,0,0,5.98,31.7,28.7,0,1,171.72,0.364,5.899,67.8,critica,acido,ideal,synthetic_agronomic_soy
1,0,1,6.41,80.8,21.5,0,2,137.95,2.457,0.296,21.26,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,0,4.84,30.9,38.4,1,2,186.12,0.125,7.193,69.66,critica,acido,estresse,synthetic_agronomic_soy
0,0,1,5.65,72.3,31.3,0,1,176.81,1.486,0.942,86.32,adequada,acido,ideal,synthetic_agronomic_soy
0,0,0,7.77,75.8,33.6,1,0,261.08,0.432,0.944,127.33,excesso,alcalino,estresse,synthetic_agronomic_soy
0,1,0,4.97,61.0,31.6,0,1,156.94,0.828,2.205,102.79,adequada,acido,ideal,synthetic_agronomic_soy
1,1,1,5.76,84.0,33.6,0,3,193.7,1.179,1.346,10.92,excesso,acido,estresse,synthetic_agronomic_soy
0,0,1,5.76,38.3,16.4,1,1,94.26,0.471,3.027,74.97,critica,acido,baixa,synthetic_agronomic_soy
1,0,0,5.94,85.5,39.7,0,1,235.61,0.348,2.342,65.47,excesso,acido,estresse,synthetic_agronomic_soy
0,1,1,6.85,73.4,20.6,0,2,141.02,2.963,0.0,42.91,adequada,alcalino,ideal,synthetic_agronomic_soy
0,0,0,5.54,78.9,37.1,0,0,205.63,0.368,2.493,119.86,excesso,acido,estresse,synthetic_agronomic_soy
1,0,1,6.18,68.2,38.8,0,2,239.82,1.14,2.776,34.66,adequada,ideal,estresse,synthetic_agronomic_soy
1,1,1,6.73,82.7,31.5,0,3,212.39,2.74,1.484,10.04,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,0,5.77,94.4,29.9,0,2,172.72,0.138,0.803,47.13,excesso,acido,ideal,synthetic_agronomic_soy
1,1,1,7.65,48.6,15.3,0,3,116.77,0.191,2.338,26.18,baixa,alcalino,baixa,synthetic_agronomic_soy
0,0,1,7.74,80.1,25.1,0,1,194.15,0.723,0.0,102.71,excesso,alcalino,ideal,synthetic_agronomic_soy
0,1,0,5.16,74.6,30.3,0,1,156.57,0.389,0.511,90.64,adequada,acido,ideal,synthetic_agronomic_soy
1,0,1,5.83,51.2,14.5,0,2,84.3,0.726,1.903,34.92,baixa,acido,baixa,synthetic_agronomic_soy
1,1,1,5.42,89.2,15.3,0,3,83.22,0.301,0.112,16.87,excesso,acido,baixa,synthetic_agronomic_soy
0,0,0,5.36,46.6,41.8,0,0,224.09,0.107,7.765,122.43,baixa,acido,estresse,synthetic_agronomic_soy
1,0,1,6.27,60.2,22.0,1,2,137.8,3.704,0.468,29.37,adequada,ideal,ideal,synthetic_agronomic_soy
1,0,0,6.49,23.5,22.5,0,1,146.01,0.11,4.471,59.21,critica,ideal,ideal,synthetic_agronomic_soy
0,0,0,6.08,33.1,19.5,0,0,118.78,0.356,4.618,93.79,critica,ideal,ideal,synthetic_agronomic_soy
1,1,0,5.62,82.3,31.4,0,2,176.29,1.757,1.499,49.25,excesso,acido,ideal,synthetic_agronomic_soy
1,1,1,5.64,46.7,26.2,0,3,147.62,2.194,3.532,22.28,baixa,acido,ideal,synthetic_agronomic_soy
1,1,0,7.78,46.5,35.7,1,2,277.72,0.0,4.116,71.41,baixa,alcalino,estresse,synthetic_agronomic_soy
1,0,1,7.57,34.7,27.4,0,2,207.26,0.409,5.496,53.6,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,0,5.03,54.3,12.5,0,1,62.66,0.11,2.107,101.83,baixa,acido,baixa,synthetic_agronomic_soy
0,1,0,6.77,79.5,26.5,0,1,179.26,2.954,0.491,68.07,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,0,6.17,86.6,13.7,0,1,84.26,0.233,0.0,56.77,excesso,ideal,baixa,synthetic_agronomic_soy
0,0,1,6.87,20.6,36.8,0,1,252.71,0.0,10.913,72.46,critica,alcalino,estresse,synthetic_agronomic_soy
1,1,1,6.59,61.0,15.4,0,3,101.56,1.153,1.814,13.44,adequada,ideal,baixa,synthetic_agronomic_soy
1,1,1,7.47,52.4,18.5,0,3,138.22,1.253,2.785,19.8,baixa,alcalino,ideal,synthetic_agronomic_soy
0,0,0,5.0,64.1,25.8,1,0,129.02,0.753,0.633,130.42,adequada,acido,ideal,synthetic_agronomic_soy
1,1,1,5.85,50.8,17.9,0,3,104.43,1.774,2.383,4.1,baixa,acido,baixa,synthetic_agronomic_soy
0,0,1,7.76,46.9,28.2,0,1,218.55,0.978,2.834,96.11,baixa,alcalino,ideal,synthetic_agronomic_soy
1,0,1,5.35,52.8,25.8,0,2,138.06,1.388,2.77,56.18,baixa,acido,ideal,synthetic_agronomic_soy
1,0,1,5.18,61.6,40.6,0,2,210.26,0.02,4.772,69.54,adequada,acido,estresse,synthetic_agronomic_soy
0,1,1,6.99,55.1,14.7,1,2,102.37,0.691,1.481,38.59,adequada,alcalino,baixa,synthetic_agronomic_soy
0,1,1,7.13,52.8,29.3,1,2,208.99,2.736,2.168,51.86,baixa,alcalino,ideal,synthetic_agronomic_soy
0,0,1,6.82,80.4,33.6,0,1,229.13,1.277,1.577,70.01,excesso,alcalino,estresse,synthetic_agronomic_soy
1,1,1,7.13,74.7,15.8,1,3,112.84,1.042,0.586,27.2,adequada,alcalino,baixa,synthetic_agronomic_soy
1,0,1,6.88,42.3,31.1,0,2,213.96,1.622,5.408,41.39,baixa,alcalino,ideal,synthetic_agronomic_soy
1,0,0,5.21,79.0,37.9,0,1,197.5,0.0,3.38,91.52,excesso,acido,estresse,synthetic_agronomic_soy
0,1,0,6.62,83.3,35.6,0,1,236.01,0.856,2.237,66.97,excesso,ideal,estresse,synthetic_agronomic_soy
1,0,1,7.13,27.3,40.1,0,2,285.62,0.173,10.685,49.44,critica,alcalino,estresse,synthetic_agronomic_soy
0,1,0,7.4,61.6,33.6,1,1,248.65,1.735,2.025,90.57,adequada,alcalino,estresse,synthetic_agronomic_soy
1,1,1,5.54,37.8,23.8,0,3,131.93,0.864,3.577,21.75,critica,acido,ideal,synthetic_agronomic_soy
1,1,0,5.18,74.1,39.6,0,2,205.29,0.343,2.974,52.28,adequada,acido,estresse,synthetic_agronomic_soy
0,0,1,7.14,34.1,18.8,1,1,134.01,0.162,3.692,80.91,critica,alcalino,ideal,synthetic_agronomic_soy
1,0,0,5.57,68.7,29.5,0,1,164.37,2.079,1.682,83.4,adequada,acido,ideal,synthetic_agronomic_soy
0,1,0,4.9,35.4,35.0,1,1,171.2,0.0,5.619,97.43,critica,acido,estresse,synthetic_agronomic_soy
1,0,0,7.28,55.9,38.2,1,1,277.7,0.446,3.931,83.72,adequada,alcalino,estresse,synthetic_agronomic_soy
0,1,1,6.32,90.9,39.5,0,2,249.54,0.987,3.121,20.95,excesso,ideal,estresse,synthetic_agronomic_soy
1,1,0,5.78,45.5,14.5,1,2,84.09,0.432,2.825,45.4,baixa,acido,baixa,synthetic_agronomic_soy
1,0,1,4.83,85.1,33.8,0,2,163.31,0.0,1.089,72.13,excesso,acido,estresse,synthetic_agronomic_soy
0,0,1,4.91,94.0,18.1,0,1,88.91,0.251,0.248,105.62,excesso,acido,ideal,synthetic_agronomic_soy
0,0,0,7.18,85.0,35.4,0,0,253.91,0.807,1.39,113.95,excesso,alcalino,estresse,synthetic_agronomic_soy
1,0,0,6.27,28.3,33.0,1,1,207.01,0.489,5.853,55.5,critica,ideal,estresse,synthetic_agronomic_soy
1,1,0,5.25,80.6,17.4,0,2,91.55,0.416,0.0,50.59,excesso,acido,baixa,synthetic_agronomic_soy
1,1,0,5.88,17.6,37.0,1,2,217.31,0.0,8.444,46.34,critica,acido,estresse,synthetic_agronomic_soy
0,1,0,5.3,46.5,25.9,1,1,136.92,0.719,1.729,91.15,baixa,acido,ideal,synthetic_agronomic_soy
0,0,1,5.14,84.7,28.3,0,1,145.5,0.609,0.124,96.31,excesso,acido,ideal,synthetic_agronomic_soy
0,1,1,5.63,70.1,41.1,0,2,231.59,0.318,2.544,56.45,adequada,acido,estresse,synthetic_agronomic_soy
0,1,1,6.45,57.6,31.7,0,2,204.41,3.684,3.227,21.23,adequada,ideal,ideal,synthetic_agronomic_soy
1,0,0,5.43,46.0,29.7,0,1,161.04,1.269,4.286,94.11,baixa,acido,ideal,synthetic_agronomic_soy
0,1,0,5.83,80.0,12.5,0,1,72.9,0.501,0.0,70.26,excesso,acido,baixa,synthetic_agronomic_soy
0,0,0,6.23,71.8,18.0,0,0,112.06,1.584,1.097,93.78,adequada,ideal,baixa,synthetic_agronomic_soy
0,0,0,6.06,52.5,12.8,1,0,77.55,0.095,1.382,95.49,baixa,ideal,baixa,synthetic_agronomic_soy
0,1,1,5.19,86.4,22.0,0,2,114.09,0.4,0.0,57.84,excesso,acido,ideal,synthetic_agronomic_soy
1,1,1,4.92,33.4,22.3,1,3,109.81,0.198,3.527,25.09,critica,acido,ideal,synthetic_agronomic_soy
0,0,0,4.91,28.6,27.9,1,0,136.94,0.176,4.566,131.42,critica,acido,ideal,synthetic_agronomic_soy
0,0,1,5.85,66.4,32.7,0,1,191.27,2.397,1.626,74.82,adequada,acido,estresse,synthetic_agronomic_soy
0,1,1,6.96,92.8,17.4,0,2,120.9,0.572,0.156,44.24,excesso,alcalino,baixa,synthetic_agronomic_soy
1,0,0,5.19,34.8,30.0,0,1,156.07,0.665,5.756,96.95,critica,acido,ideal,synthetic_agronomic_soy
1,1,1,7.16,35.0,39.5,1,3,282.92,0.131,6.899,13.28,critica,alcalino,estresse,synthetic_agronomic_soy
0,0,1,6.95,26.2,17.6,0,1,121.92,0.332,5.847,76.14,critica,alcalino,baixa,synthetic_agronomic_soy
0,0,0,4.81,83.8,31.8,0,0,152.88,0.333,1.268,138.33,excesso,acido,ideal,synthetic_agronomic_soy
1,1,1,4.88,33.1,13.4,1,3,65.24,0.054,3.566,36.6,critica,acido,baixa,synthetic_agronomic_soy
1,0,0,5.39,55.3,27.9,1,1,150.43,1.633,1.677,89.01,adequada,acido,ideal,synthetic_agronomic_soy
0,1,0,4.97,94.3,34.2,0,1,170.15,0.0,1.726,96.59,excesso,acido,estresse,synthetic_agronomic_soy
0,0,1,6.39,16.0,13.0,1,1,83.26,0.0,4.554,57.44,critica,ideal,baixa,synthetic_agronomic_soy
1,0,0,4.92,59.5,22.0,0,1,108.26,0.611,0.932,102.74,adequada,acido,ideal,synthetic_agronomic_soy
1,0,1,7.21,56.0,38.3,0,2,276.34,0.273,4.853,52.94,adequada,alcalino,estresse,synthetic_agronomic_soy
1,1,1,6.28,79.6,18.8,0,3,117.82,2.194,0.0,10.19,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,0,6.98,43.4,33.7,1,2,235.26,0.851,4.846,40.01,baixa,alcalino,estresse,synthetic_agronomic_soy
1,1,0,7.05,47.8,30.4,0,2,214.15,2.319,4.453,39.12,baixa,alcalino,ideal,synthetic_agronomic_soy
1,1,1,6.32,28.4,16.9,1,3,106.88,0.16,2.824,8.19,critica,ideal,baixa,synthetic_agronomic_soy
0,1,1,7.58,74.3,34.3,0,2,259.49,1.271,2.355,52.15,adequada,alcalino,estresse,synthetic_agronomic_soy
1,0,1,7.77,77.8,28.0,0,2,217.29,0.796,0.79,68.81,excesso,alcalino,ideal,synthetic_agronomic_soy
1,1,1,5.88,25.9,15.4,1,3,90.29,0.048,4.424,6.95,critica,acido,baixa,synthetic_agronomic_soy
0,0,1,5.18,46.5,40.5,1,1,209.59,0.337,5.504,89.52,baixa,acido,estresse,synthetic_agronomic_soy
1,1,0,5.89,86.4,26.8,1,2,157.6,1.994,0.0,40.87,excesso,acido,ideal,synthetic_agronomic_soy
0,1,0,5.47,15.2,34.4,1,1,187.91,0.01,7.585,76.64,critica,acido,estresse,synthetic_agronomic_soy
1,0,1,6.39,38.9,18.5,1,2,118.47,0.703,3.482,23.33,critica,ideal,ideal,synthetic_agronomic_soy
0,1,1,5.94,59.4,16.1,0,2,95.65,1.156,0.621,31.72,adequada,acido,baixa,synthetic_agronomic_soy
0,0,1,6.24,41.7,34.2,0,1,213.7,1.636,5.784,64.11,baixa,ideal,estresse,synthetic_agronomic_soy
1,0,1,7.09,36.8,32.2,1,2,228.39,0.312,4.691,45.87,critica,alcalino,estresse,synthetic_agronomic_soy
0,0,0,5.62,51.8,20.2,0,0,113.7,0.65,1.63,110.52,baixa,acido,ideal,synthetic_agronomic_soy
0,0,0,6.41,29.5,34.4,1,0,220.51,0.556,6.549,84.12,critica,ideal,estresse,synthetic_agronomic_soy
1,0,1,5.81,57.4,27.1,0,2,157.62,3.593,2.283,43.37,adequada,acido,ideal,synthetic_agronomic_soy
0,0,0,7.15,71.5,22.5,0,0,160.68,1.32,0.165,107.26,adequada,alcalino,ideal,synthetic_agronomic_soy
1,1,0,6.72,61.0,35.6,0,2,239.23,1.588,3.217,41.07,adequada,ideal,estresse,synthetic_agronomic_soy
1,1,1,4.83,22.4,30.5,1,3,147.19,0.363,6.119,25.82,critica,acido,ideal,synthetic_agronomic_soy
0,0,0,6.78,82.6,27.2,0,0,184.54,1.509,1.113,89.71,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,1,5.31,29.0,35.2,0,3,186.89,0.034,8.271,30.76,critica,acido,estresse,synthetic_agronomic_soy
1,1,0,6.97,76.2,28.3,1,2,197.66,3.019,0.898,44.24,excesso,alcalino,ideal,synthetic_agronomic_soy
1,0,0,6.5,43.8,40.2,0,1,261.1,0.052,8.172,48.94,baixa,ideal,estresse,synthetic_agronomic_soy
0,1,1,6.0,77.6,36.5,0,2,219.41,1.658,2.035,39.88,excesso,acido,estresse,synthetic_agronomic_soy
1,1,1,6.88,31.5,22.7,1,3,156.54,0.717,3.531,2.66,critica,alcalino,ideal,synthetic_agronomic_soy
1,0,0,7.37,29.9,25.9,1,1,191.23,0.048,4.019,91.6,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,0,7.14,54.8,40.7,0,1,290.59,0.145,5.465,82.69,baixa,alcalino,estresse,synthetic_agronomic_soy
0,1,0,6.44,17.6,38.9,0,1,250.08,0.356,11.753,67.57,critica,ideal,estresse,synthetic_agronomic_soy
1,0,1,6.97,33.0,17.7,1,2,123.58,0.25,3.69,41.28,critica,alcalino,baixa,synthetic_agronomic_soy
0,0,0,6.04,72.9,20.2,0,0,122.22,1.794,0.0,90.1,adequada,ideal,ideal,synthetic_agronomic_soy
1,0,1,7.17,82.0,22.9,0,2,164.36,1.632,0.0,45.24,excesso,alcalino,ideal,synthetic_agronomic_soy
0,1,1,7.29,21.5,38.4,1,2,279.79,0.0,8.409,48.48,critica,alcalino,estresse,synthetic_agronomic_soy
0,1,1,5.21,85.6,39.8,0,2,207.55,0.355,2.782,60.82,excesso,acido,estresse,synthetic_agronomic_soy
1,0,0,5.51,78.8,36.1,1,1,198.89,0.926,1.295,73.42,excesso,acido,estresse,synthetic_agronomic_soy
0,1,0,5.61,84.6,20.3,0,1,113.72,1.361,0.0,79.67,excesso,acido,ideal,synthetic_agronomic_soy
1,0,1,5.3,70.9,38.6,0,2,204.58,0.0,2.831,51.57,adequada,acido,estresse,synthetic_agronomic_soy
1,0,0,5.98,68.9,13.0,0,1,77.63,0.0,0.0,66.11,adequada,acido,baixa,synthetic_agronomic_soy
1,1,0,5.38,57.0,24.7,1,2,132.78,1.978,0.85,61.46,adequada,acido,ideal,synthetic_agronomic_soy
1,0,1,6.59,67.2,23.3,0,2,153.66,3.878,0.491,37.87,adequada,ideal,ideal,synthetic_agronomic_soy
0,0,1,5.1,88.5,28.1,0,1,143.23,0.12,0.574,98.5,excesso,acido,ideal,synthetic_agronomic_soy
1,0,1,5.61,23.0,28.8,1,2,161.67,0.215,5.426,51.73,critica,acido,ideal,synthetic_agronomic_soy
0,0,1,6.8,40.3,18.8,1,1,127.52,0.611,2.854,66.57,baixa,ideal,ideal,synthetic_agronomic_soy
1,1,1,6.0,20.8,18.1,1,3,108.74,0.0,4.373,8.65,critica,acido,ideal,synthetic_agronomic_soy
0,0,0,6.06,90.6,36.1,0,0,218.97,0.436,2.337,87.55,excesso,ideal,estresse,synthetic_agronomic_soy
0,0,1,7.19,50.6,14.3,1,1,102.77,0.501,1.173,73.64,baixa,alcalino,baixa,synthetic_agronomic_soy
1,0,0,7.75,69.0,26.8,0,1,207.78,0.922,0.946,97.24,adequada,alcalino,ideal,synthetic_agronomic_soy
1,1,0,6.5,82.3,17.7,0,2,115.29,1.297,0.0,24.88,excesso,ideal,baixa,synthetic_agronomic_soy
0,0,1,5.04,94.3,21.6,0,1,108.74,0.305,0.0,100.33,excesso,acido,ideal,synthetic_agronomic_soy
1,1,1,5.11,27.9,20.3,1,3,103.8,0.0,3.47,28.16,critica,acido,ideal,synthetic_agronomic_soy
1,1,1,7.71,79.0,33.3,0,3,256.25,0.748,1.346,27.23,excesso,alcalino,estresse,synthetic_agronomic_soy
0,1,0,6.84,86.0,25.7,1,1,175.6,1.862,0.0,66.1,excesso,alcalino,ideal,synthetic_agronomic_soy
0,1,1,7.06,18.9,21.0,1,2,148.09,0.003,4.212,47.35,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,0,6.83,75.3,36.9,0,1,252.2,0.921,2.554,72.21,excesso,alcalino,estresse,synthetic_agronomic_soy
0,1,0,5.34,43.4,14.6,0,1,77.81,0.0,2.846,83.43,baixa,acido,baixa,synthetic_agronomic_soy
1,1,0,6.15,66.9,35.0,0,2,215.02,2.284,1.424,32.01,adequada,ideal,estresse,synthetic_agronomic_soy
0,1,1,7.19,56.1,19.4,0,2,139.92,1.807,1.525,47.71,adequada,alcalino,ideal,synthetic_agronomic_soy
1,1,0,7.4,35.8,39.5,0,2,292.56,0.5,10.03,55.58,critica,alcalino,estresse,synthetic_agronomic_soy
0,1,0,5.51,25.8,12.2,0,1,67.06,0.353,4.876,84.18,critica,acido,baixa,synthetic_agronomic_soy
0,1,0,6.59,24.4,28.7,0,1,189.07,0.0,6.628,61.13,critica,ideal,ideal,synthetic_agronomic_soy
1,1,1,5.27,23.3,30.7,0,3,161.66,0.0,7.791,28.37,critica,acido,ideal,synthetic_agronomic_soy
0,1,0,7.67,66.0,29.3,0,1,225.02,1.281,1.958,93.57,adequada,alcalino,ideal,synthetic_agronomic_soy
1,0,0,5.56,43.1,36.5,1,1,202.54,0.74,4.976,74.32,baixa,acido,estresse,synthetic_agronomic_soy
0,1,0,6.98,32.3,15.4,0,1,107.25,0.0,4.111,80.08,critica,alcalino,baixa,synthetic_agronomic_soy
1,0,0,5.49,70.4,24.5,1,1,134.4,1.823,0.145,88.1,adequada,acido,ideal,synthetic_agronomic_soy
1,1,1,6.65,69.9,37.9,0,3,252.05,1.296,2.449,0.0,adequada,ideal,estresse,synthetic_agronomic_soy
1,1,1,6.78,58.1,38.7,0,3,262.04,1.273,4.888,9.2,adequada,ideal,estresse,synthetic_agronomic_soy
0,1,0,5.79,89.8,27.0,0,1,155.92,1.051,0.0,80.94,excesso,acido,ideal,synthetic_agronomic_soy
1,1,0,7.26,45.8,28.7,1,2,208.54,1.529,2.793,48.75,baixa,alcalino,ideal,synthetic_agronomic_soy
0,0,1,7.46,81.9,34.9,0,1,260.35,0.295,2.235,91.54,excesso,alcalino,estresse,synthetic_agronomic_soy
1,0,1,7.37,21.0,35.4,1,2,260.64,0.0,7.883,58.65,critica,alcalino,estresse,synthetic_agronomic_soy
0,0,1,5.79,74.2,38.6,0,1,223.83,1.468,2.779,75.57,adequada,acido,estresse,synthetic_agronomic_soy
0,1,1,7.03,94.1,37.3,0,2,262.44,0.367,2.195,55.17,excesso,alcalino,estresse,synthetic_agronomic_soy
1,1,0,6.48,82.7,24.4,0,2,158.29,3.275,0.423,33.29,excesso,ideal,ideal,synthetic_agronomic_soy
1,0,1,6.58,61.4,31.5,0,2,207.15,4.1,2.601,33.14,adequada,ideal,ideal,synthetic_agronomic_soy
0,1,0,6.23,65.1,26.5,0,1,165.14,3.694,0.679,60.2,adequada,ideal,ideal,synthetic_agronomic_soy
1,1,1,6.6,43.3,15.5,0,3,102.57,0.8,3.507,4.18,baixa,ideal,baixa,synthetic_agronomic_soy
1,1,0,5.21,69.4,36.7,0,2,190.84,0.267,1.861,56.2,adequada,acido,estresse,synthetic_agronomic_soy
1,0,1,6.03,76.6,30.1,0,2,181.12,3.092,1.527,32.14,excesso,ideal,ideal,synthetic_agronomic_soy
1,0,0,5.33,94.9,13.7,0,1,73.28,0.0,0.403,83.51,excesso,acido,baixa,synthetic_agronomic_soy
0,1,1,5.64,54.4,32.3,0,2,182.22,1.704,3.64,47.04,baixa,acido,estresse,synthetic_agronomic_soy
0,1,1,5.18,19.9,20.5,0,2,106.22,0.0,5.937,63.65,critica,acido,ideal,synthetic_agronomic_soy
0,0,0,5.44,62.7,14.1,0,0,76.55,0.143,0.933,118.36,adequada,acido,baixa,synthetic_agronomic_soy
1,1,1,7.15,24.5,30.2,1,3,215.79,0.28,5.612,17.25,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,1,6.45,34.6,34.0,0,2,219.07,0.502,7.98,39.89,critica,ideal,estresse,synthetic_agronomic_soy
0,1,0,4.87,41.3,27.5,1,1,134.04,0.321,2.978,110.29,baixa,acido,ideal,synthetic_agronomic_soy
0,1,0,7.17,73.5,12.2,0,1,87.2,0.536,0.0,74.4,adequada,alcalino,baixa,synthetic_agronomic_soy
1,1,1,7.53,29.7,29.3,1,3,220.63,0.366,4.755,28.35,critica,alcalino,ideal,synthetic_agronomic_soy
1,0,0,7.44,28.3,12.2,0,1,90.77,0.005,5.31,81.3,critica,alcalino,baixa,synthetic_agronomic_soy
0,0,1,7.27,18.6,39.8,1,1,289.25,0.101,9.88,83.41,critica,alcalino,estresse,synthetic_agronomic_soy
0,0,1,7.78,84.9,20.0,0,1,155.68,0.0,0.046,90.43,excesso,alcalino,ideal,synthetic_agronomic_soy
1,1,1,6.56,70.5,38.1,1,3,250.1,1.772,1.519,0.47,adequada,ideal,estresse,synthetic_agronomic_soy
1,1,1,7.69,18.2,12.4,0,3,95.05,0.0,6.199,31.45,critica,alcalino,baixa,synthetic_agronomic_soy
1,0,1,7.65,17.3,14.9,0,2,114.06,0.397,6.066,58.14,critica,alcalino,baixa,synthetic_agronomic_soy
0,1,0,5.74,59.7,25.5,0,1,146.61,2.995,0.44,70.41,adequada,acido,ideal,synthetic_agronomic_soy
0,1,1,7.39,37.6,34.8,0,2,256.87,0.551,6.884,50.31,critica,alcalino,estresse,synthetic_agronomic_soy
0,1,1,7.18,62.7,40.3,1,2,289.08,0.685,3.336,43.49,adequada,alcalino,estresse,synthetic_agronomic_soy
0,1,1,7.13,49.8,27.6,0,2,196.95,2.403,3.06,48.97,baixa,alcalino,ideal,synthetic_agronomic_soy
0,1,1,7.49,88.9,22.7,0,2,169.73,0.512,0.0,62.32,excesso,alcalino,ideal,synthetic_agronomic_soy
1,1,0,5.95,38.0,13.3,0,2,79.39,0.0,4.28,38.65,critica,acido,baixa,synthetic_agronomic_soy
1,0,1,6.0,69.3,29.5,0,2,177.07,4.285,0.522,43.54,adequada,acido,ideal,synthetic_agronomic_soy
0,1,1,6.72,19.3,23.4,0,2,157.26,0.195,5.735,33.46,critica,ideal,ideal,synthetic_agronomic_soy
